;Part #;Propagation Delay [ÊS];Consumption [ÊW];Internal Reference;Frequency [KHz];betha;;;;Current [ÊA] @3V;Current [nA] @3V;;;;;
;LTC1540;60;0,9;Yes;16,66666667;2,441962356;732,5887069;;0.3 ÊA;0,3;300;;;;;
;NCS3402;55;1,41;No;18,18181818;1,668652564;784,2667053;;0.47 ÊA;0,47;470;;;;;
;LTC1540;50;1,5;Yes;20;1,690132696;845,0663481;;;0,5;500;;;;;
;TLV3691;24;0,45;No;41,66666667;10,01186911;1501,780367;;0.15 ÊA;0,15;150;;;;;
;ADCMP380;23;1,045;Yes;43,47826087;4,457499331;1552,6956;;;0,348333333;348,3333333;;;;;
;LT1017;22;150;No;45,45454545;0,032154368;1607,718395;;;50;50000;;;;;
;TPS383X;20;0,45;Supervisor;50;11,54903643;1732,355465;;0.15 ÊA;0,15;150;;;;;
;LT6700-1;18;7,98;Yes;55,55555556;0,707296961;1881,409916;;;2,66;2660;;;;;
;LT6703-2;18;9,1;Yes;55,55555556;0,620245027;1881,409916;;;3,033333333;3033,333333;;;;;
;MAX9060/8;15;1,5;No;66,66666667;4,340542495;2170,271248;;0.5 ÊA;0,5;500;;;;;
;MAX931/4;12;12;Yes;83,33333333;0,646209487;2584,837948;;4 ÊA;4;4000;;;;;
;ADCMP341;10;38,5;Yes;100;0,23234024;2981,699751;;;12,83333333;12833,33333;;;;;
;ADCMP343;10;11,05;Yes;100;0,809511245;2981,699751;;;3,683333333;3683,333333;;;;;
;ADCMP670;10;9,69;Yes;100;0,923126858;2981,699751;;;3,23;3230;;;;;
;MIC8412;10;4,5;Monitor Hysteresis;100;1,987799834;2981,699751;;1.5 ÊA;1,5;1500;;;;;
;ADCMP39X;9,5;77,9;Yes;105,2631579;0,119536087;3103,953716;;;25,96666667;25966,66667;;;;;
;LTC1440;8;10,5;Yes;125;1,014647452;3551,266081;;;3,5;3500;;;;;
;LTC1541;8;25;Yes;125;0,42615193;3551,266081;;;8,333333333;8333,333333;;;;y=ax^b;
;LT1018;6;550;No;166,6666667;0,024267151;4448,977604;;;183,3333333;183333,3333;;;;a;80,847
;MAX9025/8;6;3;Yes;166,6666667;4,448977604;4448,977604;;1 ÊA;1;1000;;;;b;0,7834
;MAX951/4;6;21;Yes & OpAmp;166,6666667;0,635568229;4448,977604;;7 ÊA;7;7000;;;;;
;ADCMP35X;5;83;Yes;200;0,185495753;5132,049159;;;27,66666667;27666,66667;;;;;
;ADCMP361;5;11,05;Yes;200;1,393316514;5132,049159;;;3,683333333;3683,333333;;;;;
;ADCMP37X;5;39;No;200;0,394773012;5132,049159;;;13;13000;;;;;
Aqui;MIC833;5;3;Monitor Hysteresis;200;5,132049159;5132,049159;;1 ÊA;1;1000;;;;;
;ADCMP396;4,94;95,7;Yes;202,4291498;0,162408043;5180,816585;;;31,9;31900;;;;;
;ADCMP391;4,5;42,78;No;222,2222222;0,390856825;5573,61833;;;14,26;14260;;;;;
;ADCMP392;4,5;50,8;No;222,2222222;0,329150689;5573,61833;;;16,93333333;16933,33333;;;;;
;ADCMP393;4,5;61,64;No;222,2222222;0,271266304;5573,61833;;;20,54666667;20546,66667;;;;;
;LTC1443;4;27,5;Yes;250;0,666804731;6112,376705;;;9,166666667;9166,666667;;;;;
;LTC1841;4;17,5;No;250;1,047836007;6112,376705;;;5,833333333;5833,333333;;;;;
;MCP6541;4;1,8;No;250;10,18729451;6112,376705;;0.6 ÊA;0,6;600;;;;;
;LT1716;3;175;No;333,3333333;0,131271463;7657,501987;;;58,33333333;58333,33333;;;;;
;TS881;2;0,63;No;500;50,0976917;10520,51526;;0.21 ÊA;0,21;210;;;;;
;TS880;2;0,75;No;500;42,08206103;10520,51526;;0.25 ÊA;0,25;250;;;;;
;LTC6702;0,32;72;No;3125;1,842121089;44210,90613;;;24;24000;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
