Part#;GBP typ. [KHz];Iq/Amplifier [nA];a;Iq/Ampl(Regr);;;;;
LT600X;2;850;2,130958415;398,8815522;;;;;
LT149X;2,7;1000;1,900399674;526,2050998;;;;;
TLV8811;6;425;0,38646872;1099,700902;;;;;
LPV521;6,2;500;0,44111322;1133,49584;;;;;
AD850X;7;750;0,591545426;1267,865437;;;;;
TSU101;8;580;0,404410539;1434,186166;;;;;
TLV854x;8;500;0,348629775;1434,186166;;;;;
LPV811;8;425;0,296335308;1434,186166;;;;;
LPV542;8;490;0,341657179;1434,186166;;;;;
MCP6441;9;450;0,28144147;1598,911487;;;;;
MAX44264;9;750;0,469069117;1598,911487;;;;;
TS94x;10;1200;0,680954484;1762,23232;;;;;
TSU111;11,5;900;0,448899551;2004,902875;;;;;
LT167X;12;1500;0,71934278;2085,23675;;;;;
LTC154X;12;5000;2,397809265;2085,23675;;;;;
MAX40007;20;700;0,209485558;3341,519125;;;;;
LTC206X;20;1400;0,418971117;3341,519125;;;;;
OPX90;20;20000;5,98530167;3341,519125;;;;y = ax^b;
OPX93;35;30000;5,355855864;5601,34566;;;;a;210,36
LT6023;40;18000;2,84084648;6336,139643;;;;b;0,9231
ADA4505;50;9000;1,156006128;7785,425857;;;;;
LT600X;50;13000;1,669786629;7785,425857;;;;;
LT217X;60;13000;1,411135673;9212,43807;;;;;
LT117X;85;12000;0,944433696;12706,02696;;;;;
OPX95;85;175000;13,7729914;12706,02696;;;;;
AD8505;95;16500;1,171882643;14079,90817;;;;;
AD8506;95;20000;1,42046381;14079,90817;;;;;
LP358;100;54000;3,657889633;14762,61053;;;;;
LP2904;100;54000;3,657889633;14762,61053;;;;;
LTC206X;100;7500;0,508040227;14762,61053;;;;;
OPX81;105;5000;0,32377775;15442,6918;;;;;
TSV611;120;10000;0,572459319;17468,49019;;;;;
LT146XL;120;60000;3,434755914;17468,49019;;;;;
ADA4051;125;13000;0,716675498;18139,31135;;;;;
TSV711;150;14000;0,652251419;21464,11583;;;;;
LT146X;175;28000;1,131478866;24746,37472;;;;;
LT1635;175;130000;5,253294734;24746,37472;;;;;
LT149XA;180;40000;1,574906516;25398,33292;;;;;
LT207X;200;35000;1,250328392;27992,64594;;;;;
LT107X;200;38000;1,357499397;27992,64594;;;;;
LT1782;200;40000;1,428946734;27992,64594;;;;;
LT1636;200;42000;1,500394071;27992,64594;;;;;
LTC1047;200;60000;2,143420101;27992,64594;;;;;
RH1078M;200;75000;2,679275126;27992,64594;;;;;
AD865X;230;22000;0,690793994;31847,41063;;;;;
LT1077;230;48000;1,507186897;31847,41063;;;;;
AD8609;316;40000;0,936775844;42699,6493;;;;;
AD860X;316;50000;1,170969805;42699,6493;;;;;
LT601X;330;135000;3,037598631;44443,00133;;;;;
AD8613;350;38000;0,80982508;46923,71344;;;;;
AD861X;400;38000;0,715910705;53079,2454;;;;;
LT6020;400;90000;1,695577986;53079,2454;;;;;
AD8538;430;180000;3,172156546;56743,73171;;;;;
TSV6191;450;10000;0,168988195;59175,73129;;;;;
OPX96;450;60000;1,013929168;59175,73129;;;;;
LTC2055;500;130000;1,993246358;65220,23708;;;;;
LTC2054;500;140000;2,146573001;65220,23708;;;;;
LTC2055HV;500;150000;2,299899643;65220,23708;;;;;
LTC2054HV;500;175000;2,683216251;65220,23708;;;;;
MP8103;600;14000;0,181406755;77174,63451;;;;;
LTC607X;750;54000;0,569457799;94827,04436;;;;;
ADA4096;786;60000;0,605931508;99021,09268;;;;;
AD854X;1000;65000;0,525593753;123669,6587;;;;;
LT146X;1000;145000;1,172478371;123669,6587;;;;;
AD648;1000;170000;1,374629815;123669,6587;;;;;
LT1637;1000;190000;1,53635097;123669,6587;;;;;
LT1639;1075;170000;1,2858568;132207,5677;;;;;
LT1638;1200;170000;1,161698827;146337,4121;;;;;
ADA4091;1270;165000;1,070038903;154200,0012;;;;;
LTC626X;1300;20000;0,126936268;157559,3827;;;;;
ADA4092;1400;165000;0,977980043;168715,0993;;;;;
LTC608X;1500;110000;0,611758034;179809,6532;;;;;
LT601X;1600;145000;0,7597692;190847,4309;;;;;
ADA4691;3600;165000;0,408976114;403446,545;;;;;
LTC625X;6500;60000;0,08619613;696086,9337;;;;;
